ENSMUSP,FC
ENSMUSP00000000049,UP
ENSMUSP00000000090,UP
ENSMUSP00000000466,UP
ENSMUSP00000000608,UP
ENSMUSP00000001027,UP
ENSMUSP00000001183,UP
ENSMUSP00000001452,UP
ENSMUSP00000001479,UP
ENSMUSP00000001507,UP
ENSMUSP00000001713,UP
ENSMUSP00000001715,UP
ENSMUSP00000002289,UP
ENSMUSP00000002403,UP
ENSMUSP00000002436,UP
ENSMUSP00000002452,UP
ENSMUSP00000002625,UP
ENSMUSP00000002846,UP
ENSMUSP00000003100,UP
ENSMUSP00000003572,UP
ENSMUSP00000003655,UP
ENSMUSP00000003681,UP
ENSMUSP00000003911,UP
ENSMUSP00000003947,UP
ENSMUSP00000004054,UP
ENSMUSP00000004134,UP
ENSMUSP00000004136,UP
ENSMUSP00000004232,UP
ENSMUSP00000005066,UP
ENSMUSP00000005185,UP
ENSMUSP00000005606,UP
ENSMUSP00000005826,UP
ENSMUSP00000006094,UP
ENSMUSP00000006105,UP
ENSMUSP00000006181,UP
ENSMUSP00000006900,UP
ENSMUSP00000007212,UP
ENSMUSP00000007708,UP
ENSMUSP00000008537,UP
ENSMUSP00000009256,UP
ENSMUSP00000010795,UP
ENSMUSP00000010807,UP
ENSMUSP00000011492,UP
ENSMUSP00000011526,UP
ENSMUSP00000011896,UP
ENSMUSP00000012348,UP
ENSMUSP00000014438,UP
ENSMUSP00000015725,UP
ENSMUSP00000015855,UP
ENSMUSP00000016105,UP
ENSMUSP00000016463,UP
ENSMUSP00000016771,UP
ENSMUSP00000017365,UP
ENSMUSP00000017597,UP
ENSMUSP00000018744,UP
ENSMUSP00000018816,UP
ENSMUSP00000018851,UP
ENSMUSP00000018992,UP
ENSMUSP00000019109,UP
ENSMUSP00000019323,UP
ENSMUSP00000019382,UP
ENSMUSP00000019517,UP
ENSMUSP00000019615,UP
ENSMUSP00000019726,UP
ENSMUSP00000019862,UP
ENSMUSP00000019896,UP
ENSMUSP00000020018,UP
ENSMUSP00000020209,UP
ENSMUSP00000020286,UP
ENSMUSP00000020298,UP
ENSMUSP00000020358,UP
ENSMUSP00000020420,UP
ENSMUSP00000020522,UP
ENSMUSP00000020562,UP
ENSMUSP00000020831,UP
ENSMUSP00000020864,UP
ENSMUSP00000020957,UP
ENSMUSP00000021049,UP
ENSMUSP00000021063,UP
ENSMUSP00000021158,UP
ENSMUSP00000021239,UP
ENSMUSP00000021512,UP
ENSMUSP00000021514,UP
ENSMUSP00000021522,UP
ENSMUSP00000021649,UP
ENSMUSP00000021652,UP
ENSMUSP00000021806,UP
ENSMUSP00000021929,UP
ENSMUSP00000021993,UP
ENSMUSP00000022097,UP
ENSMUSP00000022120,UP
ENSMUSP00000022256,UP
ENSMUSP00000022268,UP
ENSMUSP00000022286,UP
ENSMUSP00000022317,UP
ENSMUSP00000022369,UP
ENSMUSP00000022380,UP
ENSMUSP00000022416,UP
ENSMUSP00000022517,UP
ENSMUSP00000022529,UP
ENSMUSP00000022821,UP
ENSMUSP00000022849,UP
ENSMUSP00000022861,UP
ENSMUSP00000022946,UP
ENSMUSP00000022980,UP
ENSMUSP00000023085,UP
ENSMUSP00000023116,UP
ENSMUSP00000023214,UP
ENSMUSP00000023343,UP
ENSMUSP00000023361,UP
ENSMUSP00000023507,UP
ENSMUSP00000023538,UP
ENSMUSP00000023559,UP
ENSMUSP00000023760,UP
ENSMUSP00000023820,UP
ENSMUSP00000023851,UP
ENSMUSP00000024897,UP
ENSMUSP00000025065,UP
ENSMUSP00000025083,UP
ENSMUSP00000025385,UP
ENSMUSP00000025590,UP
ENSMUSP00000025617,UP
ENSMUSP00000025649,UP
ENSMUSP00000025656,UP
ENSMUSP00000025804,UP
ENSMUSP00000025835,UP
ENSMUSP00000025851,UP
ENSMUSP00000025961,UP
ENSMUSP00000026039,UP
ENSMUSP00000026092,UP
ENSMUSP00000026122,UP
ENSMUSP00000026144,UP
ENSMUSP00000026222,UP
ENSMUSP00000026254,UP
ENSMUSP00000026398,UP
ENSMUSP00000026479,UP
ENSMUSP00000026538,UP
ENSMUSP00000026576,UP
ENSMUSP00000026599,UP
ENSMUSP00000026723,UP
ENSMUSP00000026899,UP
ENSMUSP00000026937,UP
ENSMUSP00000027050,UP
ENSMUSP00000027071,UP
ENSMUSP00000027193,UP
ENSMUSP00000027432,UP
ENSMUSP00000027478,UP
ENSMUSP00000027494,UP
ENSMUSP00000027592,UP
ENSMUSP00000027602,UP
ENSMUSP00000027623,UP
ENSMUSP00000027634,UP
ENSMUSP00000027780,UP
