CPD,FC
C00006,Down
C00024,Down
C00025,Down
C00029,Down
C00037,Down
C00054,Down
C00064,Down
C00077,Down
C00105,Down
C00114,Down
C00122,Down
C00123,Down
C00144,Down
C00183,Down
C00188,Down
C00199,Down
C00262,Down
C00294,Down
C00301,Down
C00387,Down
C00407,Down
C00431,Down
C00588,Down
C00630,Down
C01089,Down
C01159,Down
C01262,Down
C01879,Down
C02356,Down
C03761,Down
C03793,Down
C05123,Down
C05145,Down
C05984,Down
C00002,UP
C00015,UP
C00044,UP
C00047,UP
C00048,UP
C00051,UP
C00074,UP
C00075,UP
C00085,UP
C00092,UP
C00103,UP
C00112,UP
C00127,UP
C00191,UP
C00197,UP
C00286,UP
C00315,UP
C00329,UP
C00366,UP
C00475,UP
C00519,UP
C00631,UP
C00711,UP
C00715,UP
C00879,UP
C01015,UP
C01026,UP
C05382,UP
C05562,UP
C00369,UP
