ENSMUSG,FC
ENSMUSG00000000028,Down
ENSMUSG00000000127,Down
ENSMUSG00000000247,Down
ENSMUSG00000000266,Down
ENSMUSG00000000708,Down
ENSMUSG00000000804,Down
ENSMUSG00000000838,Down
ENSMUSG00000001095,Down
ENSMUSG00000001166,Down
ENSMUSG00000001323,Down
ENSMUSG00000001542,Down
ENSMUSG00000001741,Down
ENSMUSG00000002058,Down
ENSMUSG00000002265,Down
ENSMUSG00000002489,Down
ENSMUSG00000002699,Down
ENSMUSG00000002831,Down
ENSMUSG00000002881,Down
ENSMUSG00000002944,Down
ENSMUSG00000003053,Down
ENSMUSG00000003134,Down
ENSMUSG00000003617,Down
ENSMUSG00000003623,Down
ENSMUSG00000003721,Down
ENSMUSG00000003847,Down
ENSMUSG00000003929,Down
ENSMUSG00000003992,Down
ENSMUSG00000004317,Down
ENSMUSG00000004552,Down
ENSMUSG00000004642,Down
ENSMUSG00000004698,Down
ENSMUSG00000004891,Down
ENSMUSG00000004951,Down
ENSMUSG00000005124,Down
ENSMUSG00000005233,Down
ENSMUSG00000005410,Down
ENSMUSG00000005893,Down
ENSMUSG00000006777,Down
ENSMUSG00000006800,Down
ENSMUSG00000007655,Down
ENSMUSG00000009633,Down
ENSMUSG00000011305,Down
ENSMUSG00000011831,Down
ENSMUSG00000012519,Down
ENSMUSG00000014850,Down
ENSMUSG00000014905,Down
ENSMUSG00000015224,Down
ENSMUSG00000015355,Down
ENSMUSG00000015357,Down
ENSMUSG00000015533,Down
ENSMUSG00000015733,Down
ENSMUSG00000015755,Down
ENSMUSG00000015766,Down
ENSMUSG00000015882,Down
ENSMUSG00000016458,Down
ENSMUSG00000016487,Down
ENSMUSG00000016495,Down
ENSMUSG00000016496,Down
ENSMUSG00000016756,Down
ENSMUSG00000016918,Down
ENSMUSG00000017132,Down
ENSMUSG00000017176,Down
ENSMUSG00000017485,Down
ENSMUSG00000017639,Down
ENSMUSG00000017858,Down
ENSMUSG00000017868,Down
ENSMUSG00000018819,Down
ENSMUSG00000018900,Down
ENSMUSG00000019232,Down
ENSMUSG00000019320,Down
ENSMUSG00000019577,Down
ENSMUSG00000019856,Down
ENSMUSG00000019874,Down
ENSMUSG00000019878,Down
ENSMUSG00000019916,Down
ENSMUSG00000019917,Down
ENSMUSG00000019935,Down
ENSMUSG00000019945,Down
ENSMUSG00000019975,Down
ENSMUSG00000019989,Down
ENSMUSG00000019996,Down
ENSMUSG00000020037,Down
ENSMUSG00000020070,Down
ENSMUSG00000020120,Down
ENSMUSG00000020123,Down
ENSMUSG00000020130,Down
ENSMUSG00000020137,Down
ENSMUSG00000020335,Down
ENSMUSG00000020340,Down
ENSMUSG00000020381,Down
ENSMUSG00000020435,Down
ENSMUSG00000020467,Down
ENSMUSG00000020492,Down
ENSMUSG00000020516,Down
ENSMUSG00000020589,Down
ENSMUSG00000020590,Down
ENSMUSG00000020614,Down
ENSMUSG00000020620,Down
ENSMUSG00000020634,Down
ENSMUSG00000020641,Down
ENSMUSG00000020642,Down
ENSMUSG00000020669,Down
ENSMUSG00000020776,Down
ENSMUSG00000020889,Down
ENSMUSG00000020982,Down
ENSMUSG00000020993,Down
ENSMUSG00000021057,Down
ENSMUSG00000021065,Down
ENSMUSG00000021187,Down
ENSMUSG00000021226,Down
ENSMUSG00000021228,Down
ENSMUSG00000021268,Down
ENSMUSG00000021270,Down
ENSMUSG00000021282,Down
ENSMUSG00000021364,Down
ENSMUSG00000021367,Down
ENSMUSG00000021390,Down
ENSMUSG00000021482,Down
ENSMUSG00000021556,Down
ENSMUSG00000021589,Down
ENSMUSG00000021611,Down
ENSMUSG00000021624,Down
ENSMUSG00000021638,Down
ENSMUSG00000021668,Down
ENSMUSG00000021669,Down
ENSMUSG00000021676,Down
ENSMUSG00000021699,Down
ENSMUSG00000021704,Down
ENSMUSG00000021708,Down
ENSMUSG00000021767,Down
ENSMUSG00000021789,Down
ENSMUSG00000021820,Down
ENSMUSG00000021838,Down
ENSMUSG00000021870,Down
ENSMUSG00000021895,Down
ENSMUSG00000021969,Down
ENSMUSG00000022003,Down
ENSMUSG00000022013,Down
ENSMUSG00000022025,Down
ENSMUSG00000022041,Down
ENSMUSG00000022092,Down
ENSMUSG00000022130,Down
ENSMUSG00000022148,Down
ENSMUSG00000022149,Down
ENSMUSG00000022255,Down
ENSMUSG00000022292,Down
ENSMUSG00000022325,Down
ENSMUSG00000022329,Down
ENSMUSG00000022339,Down
ENSMUSG00000022364,Down
ENSMUSG00000022377,Down
ENSMUSG00000022403,Down
ENSMUSG00000022494,Down
ENSMUSG00000022504,Down
ENSMUSG00000022505,Down
ENSMUSG00000022512,Down
ENSMUSG00000022550,Down
ENSMUSG00000022591,Down
ENSMUSG00000022601,Down
ENSMUSG00000022615,Down
ENSMUSG00000022636,Down
ENSMUSG00000022763,Down
ENSMUSG00000022769,Down
ENSMUSG00000022770,Down
ENSMUSG00000022788,Down
ENSMUSG00000022853,Down
ENSMUSG00000022884,Down
ENSMUSG00000022894,Down
ENSMUSG00000022901,Down
ENSMUSG00000022911,Down
ENSMUSG00000023019,Down
ENSMUSG00000023031,Down
ENSMUSG00000023078,Down
ENSMUSG00000023147,Down
ENSMUSG00000023272,Down
ENSMUSG00000023284,Down
ENSMUSG00000023960,Down
ENSMUSG00000024018,Down
ENSMUSG00000024065,Down
ENSMUSG00000024070,Down
ENSMUSG00000024109,Down
ENSMUSG00000024151,Down
ENSMUSG00000024155,Down
ENSMUSG00000024238,Down
ENSMUSG00000024253,Down
ENSMUSG00000024290,Down
ENSMUSG00000024331,Down
ENSMUSG00000024384,Down
ENSMUSG00000024423,Down
ENSMUSG00000024480,Down
ENSMUSG00000024511,Down
ENSMUSG00000024524,Down
ENSMUSG00000024580,Down
ENSMUSG00000024691,Down
ENSMUSG00000024789,Down
ENSMUSG00000024869,Down
ENSMUSG00000024913,Down
ENSMUSG00000024924,Down
ENSMUSG00000025002,Down
ENSMUSG00000025004,Down
ENSMUSG00000025006,Down
ENSMUSG00000025044,Down
ENSMUSG00000025060,Down
ENSMUSG00000025094,Down
ENSMUSG00000025194,Down
ENSMUSG00000025195,Down
ENSMUSG00000025255,Down
ENSMUSG00000025257,Down
ENSMUSG00000025268,Down
ENSMUSG00000025316,Down
ENSMUSG00000025323,Down
ENSMUSG00000025396,Down
ENSMUSG00000025504,Down
ENSMUSG00000025507,Down
ENSMUSG00000025531,Down
ENSMUSG00000025742,Down
ENSMUSG00000025766,Down
ENSMUSG00000025862,Down
ENSMUSG00000025885,Down
ENSMUSG00000025887,Down
ENSMUSG00000025903,Down
ENSMUSG00000025920,Down
ENSMUSG00000026017,Down
ENSMUSG00000026222,Down
ENSMUSG00000026317,Down
ENSMUSG00000026343,Down
ENSMUSG00000026348,Down
ENSMUSG00000026395,Down
ENSMUSG00000026399,Down
ENSMUSG00000026415,Down
ENSMUSG00000026482,Down
ENSMUSG00000026484,Down
ENSMUSG00000026494,Down
ENSMUSG00000026536,Down
ENSMUSG00000026565,Down
ENSMUSG00000026575,Down
ENSMUSG00000026594,Down
ENSMUSG00000026614,Down
ENSMUSG00000026622,Down
ENSMUSG00000026648,Down
ENSMUSG00000026669,Down
ENSMUSG00000026696,Down
ENSMUSG00000026721,Down
ENSMUSG00000026723,Down
ENSMUSG00000026768,Down
ENSMUSG00000026771,Down
ENSMUSG00000026778,Down
ENSMUSG00000026779,Down
ENSMUSG00000026781,Down
ENSMUSG00000026853,Down
ENSMUSG00000026866,Down
ENSMUSG00000026872,Down
ENSMUSG00000026890,Down
ENSMUSG00000026946,Down
ENSMUSG00000026950,Down
ENSMUSG00000026981,Down
ENSMUSG00000027004,Down
ENSMUSG00000027009,Down
ENSMUSG00000027082,Down
ENSMUSG00000027109,Down
ENSMUSG00000027165,Down
ENSMUSG00000027171,Down
ENSMUSG00000027194,Down
ENSMUSG00000027199,Down
ENSMUSG00000027201,Down
ENSMUSG00000027206,Down
ENSMUSG00000027210,Down
ENSMUSG00000027217,Down
ENSMUSG00000027242,Down
ENSMUSG00000027296,Down
ENSMUSG00000027514,Down
ENSMUSG00000027534,Down
ENSMUSG00000027550,Down
ENSMUSG00000027639,Down
ENSMUSG00000027669,Down
ENSMUSG00000027695,Down
ENSMUSG00000027708,Down
ENSMUSG00000027762,Down
ENSMUSG00000027763,Down
ENSMUSG00000027796,Down
ENSMUSG00000027810,Down
ENSMUSG00000027820,Down
ENSMUSG00000027858,Down
ENSMUSG00000027959,Down
ENSMUSG00000027965,Down
ENSMUSG00000027981,Down
ENSMUSG00000027993,Down
ENSMUSG00000028008,Down
ENSMUSG00000028019,Down
ENSMUSG00000028028,Down
ENSMUSG00000028044,Down
ENSMUSG00000028104,Down
ENSMUSG00000028128,Down
ENSMUSG00000028133,Down
ENSMUSG00000028134,Down
ENSMUSG00000028180,Down
ENSMUSG00000028186,Down
ENSMUSG00000028188,Down
ENSMUSG00000028218,Down
ENSMUSG00000028268,Down
ENSMUSG00000028282,Down
ENSMUSG00000028354,Down
ENSMUSG00000028358,Down
ENSMUSG00000028383,Down
ENSMUSG00000028385,Down
ENSMUSG00000028389,Down
ENSMUSG00000028399,Down
ENSMUSG00000028402,Down
