ENSMUSG,Transporter
ENSMUSG00000003153,2.A.1.1.139
ENSMUSG00000004655,1.A.8.8.1
ENSMUSG00000044712,2.A.18.6.11
ENSMUSG00000024610,9.A.75.1.1
ENSMUSG00000036594,9.A.75.1.1
ENSMUSG00000061171,2.A.18.6.18
ENSMUSG00000037752,2.A.112.1.13
ENSMUSG00000096146,1.A.2.1.7
ENSMUSG00000027716,1.A.4.1.4
ENSMUSG00000044708,1.A.2.1.16
ENSMUSG00000026791,2.A.1.1.46
ENSMUSG00000032204,1.A.8.9.9
ENSMUSG00000028412,2.A.92.1.6
ENSMUSG00000032436,1.A.64.5.1
ENSMUSG00000038583,1.A.50.1.1
ENSMUSG00000021733,2.A.31.2.11
ENSMUSG00000024727,1.A.4.5.8
ENSMUSG00000020651,2.A.53.2.4
ENSMUSG00000029468,1.A.7.1.7
ENSMUSG00000045775,2.A.1.13.11
ENSMUSG00000030616,9.A.57.1.4
ENSMUSG00000026469,2.A.94.1.6
ENSMUSG00000031596,2.A.3.3.8
ENSMUSG00000020787,1.A.7.1.1
ENSMUSG00000046822,2.A.5.3.3
ENSMUSG00000075316,1.A.1.10.5
ENSMUSG00000039508,1.A.84.1.5
ENSMUSG00000023828,2.A.1.19.24
ENSMUSG00000030562,5.B.1.1.2
ENSMUSG00000014158,1.A.4.2.5
ENSMUSG00000028645,2.A.1.1.86
ENSMUSG00000030109,2.A.22.3.1
ENSMUSG00000046352,1.A.24.1.3
ENSMUSG00000047797,1.A.24.1.3
ENSMUSG00000034462,1.A.5.2.1
ENSMUSG00000075318,1.A.1.10.12
ENSMUSG00000064267,1.A.51.1.2
ENSMUSG00000007476,1.A.25.3.1
ENSMUSG00000046079,1.A.25.3.1
ENSMUSG00000046589,1.A.25.3.1
ENSMUSG00000054720,1.A.25.3.1
ENSMUSG00000070639,1.A.25.3.1
ENSMUSG00000099041,1.A.25.3.1
ENSMUSG00000068040,8.A.86.1.18
ENSMUSG00000026198,3.A.1.210.6
ENSMUSG00000017204,1.C.123.1.2
ENSMUSG00000064224,1.C.123.1.2
ENSMUSG00000032548,2.A.60.1.19
ENSMUSG00000023942,2.A.57.1.1
