CPD,Enzyme,ACIN
C01405,1.1.1.1,AC
C01842,1.1.1.1,AC
C00004,1.1.1.1,IN
C00006,1.1.1.1,IN
C00010,1.1.1.1,IN
C00027,1.1.1.1,IN
C00038,1.1.1.1,IN
C00051,1.1.1.1,IN
C00097,1.1.1.1,IN
C00280,1.1.1.1,IN
C00284,1.1.1.1,IN
C00376,1.1.1.1,IN
C00469,1.1.1.1,IN
C00481,1.1.1.1,IN
C00535,1.1.1.1,IN
C00604,1.1.1.1,IN
C00703,1.1.1.1,IN
C00755,1.1.1.1,IN
C00777,1.1.1.1,IN
C00805,1.1.1.1,IN
C00814,1.1.1.1,IN
C00854,1.1.1.1,IN
C00870,1.1.1.1,IN
C00928,1.1.1.1,IN
C00950,1.1.1.1,IN
C01197,1.1.1.1,IN
C01678,1.1.1.1,IN
C01692,1.1.1.1,IN
C01845,1.1.1.1,IN
C01857,1.1.1.1,IN
C02086,1.1.1.1,IN
C02441,1.1.1.1,IN
C02679,1.1.1.1,IN
C02924,1.1.1.1,IN
C03444,1.1.1.1,IN
C03917,1.1.1.1,IN
C06423,1.1.1.1,IN
C06563,1.1.1.1,IN
C06804,1.1.1.1,IN
C06952,1.1.1.1,IN
C07190,1.1.1.1,IN
C07648,1.1.1.1,IN
C07837,1.1.1.1,IN
C08317,1.1.1.1,IN
C08390,1.1.1.1,IN
C10208,1.1.1.1,IN
C10788,1.1.1.1,IN
C11143,1.1.1.1,IN
C14415,1.1.1.1,IN
C14437,1.1.1.1,IN
C15561,1.1.1.1,IN
C19150,1.1.1.1,IN
C19302,1.1.1.1,IN
C00022,1.1.1.10,IN
C00036,1.1.1.10,IN
C00097,1.1.1.10,IN
C00163,1.1.1.10,IN
C00164,1.1.1.10,IN
C00246,1.1.1.10,IN
C00742,1.1.1.10,IN
C00803,1.1.1.10,IN
C01585,1.1.1.10,IN
C01620,1.1.1.10,IN
C03444,1.1.1.10,IN
C06423,1.1.1.10,IN
C17714,1.1.1.10,IN
C04576,1.1.1.100,IN
C00284,1.1.1.101,AC
C06916,1.1.1.101,AC
