CPD,Enzyme,Regulation
C00226,1.1.1.1,Substrate
C00069,1.1.1.2,Substrate
C00263,1.1.1.3,Substrate
C03044,1.1.1.4,Substrate
C00116,1.1.1.6,Substrate
C03894,1.1.1.7,Substrate
C00093,1.1.1.8,Substrate
C00379,1.1.1.9,Substrate
C00379,1.1.1.10,Substrate
C01904,1.1.1.11,Substrate
C00532,1.1.1.12,Substrate
C00532,1.1.1.13,Substrate
C01507,1.1.1.14,Substrate
C01489,1.1.1.15,Substrate
C01697,1.1.1.16,Substrate
C00644,1.1.1.17,Substrate
C00137,1.1.1.18,Substrate
C00800,1.1.1.19,Substrate
C01040,1.1.1.20,Substrate
C00717,1.1.1.21,Substrate
C00029,1.1.1.22,Substrate
C00860,1.1.1.23,Substrate
C00296,1.1.1.24,Substrate
C00493,1.1.1.25,Substrate
C00160,1.1.1.26,Substrate
C00186,1.1.1.27,Substrate
C00256,1.1.1.28,Substrate
C00258,1.1.1.29,Substrate
C01089,1.1.1.30,Substrate
C01188,1.1.1.31,Substrate
C00418,1.1.1.32,Substrate
C00418,1.1.1.33,Substrate
C00418,1.1.1.34,Substrate
C00640,1.1.1.35,Substrate
C01086,1.1.1.36,Substrate
C00149,1.1.1.37,Substrate
C00149,1.1.1.38,Substrate
C00149,1.1.1.39,Substrate
C00149,1.1.1.40,Substrate
C00311,1.1.1.41,Substrate
C00311,1.1.1.42,Substrate
C00345,1.1.1.43,Substrate
C00345,1.1.1.44,Substrate
C00800,1.1.1.45,Substrate
C00259,1.1.1.46,Substrate
C00031,1.1.1.47,Substrate
C00124,1.1.1.48,Substrate
C00092,1.1.1.49,Substrate
C03072,1.1.1.50,Substrate
C00535,1.1.1.51,Substrate
C03990,1.1.1.52,Substrate
C03852,1.1.1.53,Substrate
C02001,1.1.1.54,Substrate
C00583,1.1.1.55,Substrate
C00474,1.1.1.56,Substrate
C00514,1.1.1.57,Substrate
C00817,1.1.1.58,Substrate
C01013,1.1.1.59,Substrate
C00258,1.1.1.60,Substrate
C00989,1.1.1.61,Substrate
C00003,1.1.1.62,Substrate
C00535,1.1.1.64,Substrate
C00314,1.1.1.65,Substrate
C02774,1.1.1.66,Substrate
C00392,1.1.1.67,Substrate
C00257,1.1.1.69,Substrate
C00069,1.1.1.71,Substrate
C00116,1.1.1.72,Substrate
C00756,1.1.1.73,Substrate
C03194,1.1.1.75,Substrate
C03046,1.1.1.76,Substrate
C02912,1.1.1.77,Substrate
C00937,1.1.1.78,Substrate
C00160,1.1.1.79,Substrate
C01845,1.1.1.80,Substrate
C00258,1.1.1.81,Substrate
C00149,1.1.1.82,Substrate
C00497,1.1.1.83,Substrate
C01088,1.1.1.84,Substrate
C04411,1.1.1.85,Substrate
C04272,1.1.1.86,Substrate
C05662,1.1.1.87,Substrate
C00418,1.1.1.88,Substrate
C03485,1.1.1.90,Substrate
C03485,1.1.1.91,Substrate
C00258,1.1.1.92,Substrate
C00898,1.1.1.93,Substrate
C00093,1.1.1.94,Substrate
C00197,1.1.1.95,Substrate
C04367,1.1.1.96,Substrate
C03351,1.1.1.97,Substrate
C03042,1.1.1.98,Substrate
C03045,1.1.1.99,Substrate
C01271,1.1.1.100,Substrate
C04036,1.1.1.101,Substrate
C00836,1.1.1.102,Substrate
C00188,1.1.1.103,Substrate
C01015,1.1.1.104,Substrate
C00003,1.1.1.105,Substrate
C00522,1.1.1.106,Substrate
C00250,1.1.1.107,Substrate
C00487,1.1.1.108,Substrate
C05607,1.1.1.110,Substrate
C03817,1.1.1.111,Substrate
C01710,1.1.1.112,Substrate
C01510,1.1.1.113,Substrate
C01569,1.1.1.114,Substrate
C00121,1.1.1.115,Substrate
C00216,1.1.1.116,Substrate
C00216,1.1.1.117,Substrate
C00031,1.1.1.118,Substrate
C00031,1.1.1.119,Substrate
C00124,1.1.1.120,Substrate
C00737,1.1.1.121,Substrate
C02143,1.1.1.122,Substrate
C00247,1.1.1.123,Substrate
C00095,1.1.1.124,Substrate
C02782,1.1.1.125,Substrate
C00204,1.1.1.126,Substrate
C00204,1.1.1.127,Substrate
C01620,1.1.1.129,Substrate
C00618,1.1.1.130,Substrate
C00514,1.1.1.131,Substrate
C00096,1.1.1.132,Substrate
C03319,1.1.1.133,Substrate
C03187,1.1.1.134,Substrate
C02977,1.1.1.135,Substrate
C00043,1.1.1.136,Substrate
C01068,1.1.1.137,Substrate
C00392,1.1.1.138,Substrate
C01096,1.1.1.140,Substrate
C00003,1.1.1.141,Substrate
C03844,1.1.1.142,Substrate
C03365,1.1.1.143,Substrate
C02452,1.1.1.144,Substrate
C03836,1.1.1.145,Substrate
C01058,1.1.1.146,Substrate
C01090,1.1.1.147,Substrate
C02537,1.1.1.148,Substrate
C04518,1.1.1.149,Substrate
C00892,1.1.1.150,Substrate
C00892,1.1.1.151,Substrate
C00003,1.1.1.152,Substrate
C02953,1.1.1.153,Substrate
C00603,1.1.1.154,Substrate
C00116,1.1.1.156,Substrate
C01144,1.1.1.157,Substrate
C00695,1.1.1.159,Substrate
C04875,1.1.1.160,Substrate
C16884,1.1.1.162,Substrate
C02020,1.1.1.163,Substrate
C00823,1.1.1.164,Substrate
C02497,1.1.1.165,Substrate
C04687,1.1.1.166,Substrate
C02287,1.1.1.167,Substrate
C01012,1.1.1.168,Substrate
C00522,1.1.1.169,Substrate
C22111,1.1.1.170,Substrate
C02360,1.1.1.172,Substrate
C02431,1.1.1.173,Substrate
C03739,1.1.1.174,Substrate
C00181,1.1.1.175,Substrate
C00695,1.1.1.176,Substrate
C00093,1.1.1.177,Substrate
C04405,1.1.1.178,Substrate
C00181,1.1.1.179,Substrate
C03594,1.1.1.181,Substrate
C01500,1.1.1.183,Substrate
C01612,1.1.1.184,Substrate
C01506,1.1.1.185,Substrate
C02097,1.1.1.186,Substrate
C03117,1.1.1.187,Substrate
C00639,1.1.1.188,Substrate
C00639,1.1.1.189,Substrate
C00003,1.1.1.190,Substrate
C00006,1.1.1.191,Substrate
C00339,1.1.1.192,Substrate
C04454,1.1.1.193,Substrate
C00590,1.1.1.194,Substrate
C02394,1.1.1.195,Substrate
C00696,1.1.1.196,Substrate
C04741,1.1.1.197,Substrate
C01765,1.1.1.198,Substrate
