ENSMUSG,mmu,Enzyme
ENSMUSG00000064341,17716,7.1.1.2
ENSMUSG00000064345,17717,7.1.1.2
ENSMUSG00000064351,17708,7.1.1.9
ENSMUSG00000064360,17718,7.1.1.2
ENSMUSG00000065947,17720,7.1.1.2
ENSMUSG00000064363,17719,7.1.1.2
ENSMUSG00000064367,17721,7.1.1.2
ENSMUSG00000064368,17722,7.1.1.2
ENSMUSG00000069053,22202,6.2.1.45
ENSMUSG00000056673,20592,1.14.11.67
ENSMUSG00000068457,22290,1.14.11.68
ENSMUSG00000069045,26900,3.6.4.13
ENSMUSG00000069044,107868,3.4.19.12
ENSMUSG00000073563,70425,2.7.11.1
ENSMUSG00000053644,110695,1.2.1.31
ENSMUSG00000053644,110695,1.2.1.8
ENSMUSG00000053644,110695,1.2.1.3
ENSMUSG00000032656,320253,2.3.2.27
ENSMUSG00000056124,56386,2.4.1.274
ENSMUSG00000033107,67664,2.3.2.27
ENSMUSG00000024317,56515,2.3.2.27
ENSMUSG00000024313,17288,3.4.24.63
ENSMUSG00000022821,15233,1.13.11.5
ENSMUSG00000058152,78923,2.4.1.175
ENSMUSG00000058152,78923,2.4.1.226
ENSMUSG00000083282,56464,3.4.22.41
ENSMUSG00000022812,56637,2.7.11.26
ENSMUSG00000006463,70605,2.3.1.225
ENSMUSG00000054008,15531,2.8.2.8
ENSMUSG00000022982,20655,1.15.1.1
ENSMUSG00000063904,75221,3.4.14.4
ENSMUSG00000053414,26559,2.7.11.1
ENSMUSG00000024901,240518,2.3.2.27
ENSMUSG00000059363,14297,1.16.3.1
ENSMUSG00000024867,18719,2.7.1.68
ENSMUSG00000000420,14423,2.4.1.41
ENSMUSG00000024617,12322,2.7.11.17
ENSMUSG00000020956,328092,3.1.1.96
ENSMUSG00000056537,19820,2.3.2.27
ENSMUSG00000022973,104015,3.1.3.36
ENSMUSG00000039616,68591,2.8.1.9
ENSMUSG00000024620,18596,2.7.10.1
ENSMUSG00000025076,12369,3.4.22.60
ENSMUSG00000022673,17217,5.6.2.3
ENSMUSG00000021360,14538,2.4.1.150
ENSMUSG00000035105,112407,1.14.11.29
ENSMUSG00000033906,108672,2.3.1.225
ENSMUSG00000024621,12978,2.7.10.1
ENSMUSG00000022672,19090,2.7.11.1
ENSMUSG00000021322,27052,3.1.1.77
ENSMUSG00000050697,105787,2.7.11.11
ENSMUSG00000042350,68497,2.3.2.26
ENSMUSG00000024575,225600,3.1.4.35
ENSMUSG00000021363,17152,2.7.11.22
ENSMUSG00000031349,18194,1.1.1.170
ENSMUSG00000031591,11886,3.5.1.23
ENSMUSG00000056900,72607,3.4.19.12
ENSMUSG00000027963,58193,2.4.1.223
ENSMUSG00000020593,14245,3.1.3.4
ENSMUSG00000022367,15117,2.4.1.212
ENSMUSG00000022792,70120,6.1.1.1
ENSMUSG00000036304,332175,2.3.1.225
ENSMUSG00000033628,225326,2.7.1.137
ENSMUSG00000021665,15212,3.2.1.52
ENSMUSG00000037134,102182,2.1.1.320
ENSMUSG00000021959,50523,2.7.11.1
ENSMUSG00000052459,11964,7.1.2.2
ENSMUSG00000020032,77976,2.7.11.1
ENSMUSG00000033502,229776,3.1.3.16
ENSMUSG00000033502,229776,3.1.3.48
ENSMUSG00000034453,70428,2.7.7.6
ENSMUSG00000054106,22074,3.4.21.4
ENSMUSG00000020177,77397,3.2.1.17
ENSMUSG00000022789,74006,3.6.5.5
ENSMUSG00000069516,17105,3.2.1.17
ENSMUSG00000069515,17110,3.2.1.17
ENSMUSG00000007908,208982,4.1.3.4
ENSMUSG00000036938,103964,3.4.21.4
ENSMUSG00000032271,18113,2.1.1.1
ENSMUSG00000071521,436522,3.4.21.4
ENSMUSG00000056458,26448,2.7.11.22
ENSMUSG00000071519,22073,3.4.21.4
ENSMUSG00000000339,66368,6.5.1.4
ENSMUSG00000058119,436523,3.4.21.4
ENSMUSG00000071517,100040233,3.4.21.4
ENSMUSG00000027784,242083,3.1.3.16
ENSMUSG00000043300,26879,2.4.1.79
ENSMUSG00000025269,77622,4.2.99.18
ENSMUSG00000000340,13171,2.3.1.168
ENSMUSG00000112449,665155,3.6.5.4
ENSMUSG00000062751,114228,3.4.21.4
ENSMUSG00000021969,75965,2.3.1.225
ENSMUSG00000057163,22072,3.4.21.4
ENSMUSG00000022698,72117,2.3.1.258
ENSMUSG00000022698,72117,2.3.1.309
ENSMUSG00000025270,11656,2.3.1.37
ENSMUSG00000022453,17939,3.2.1.49
ENSMUSG00000004789,78920,2.3.1.61
ENSMUSG00000022962,14450,6.3.4.13
ENSMUSG00000022962,14450,2.1.2.2
ENSMUSG00000022962,14450,6.3.3.1
ENSMUSG00000033792,11977,7.2.2.8
ENSMUSG00000022111,50933,3.4.19.12
ENSMUSG00000020183,70574,3.4.17.12
ENSMUSG00000028518,108079,2.7.11.11
ENSMUSG00000079108,100101806,3.6.5.4
ENSMUSG00000028517,67916,3.1.3.4
ENSMUSG00000020258,235582,2.7.1.165
ENSMUSG00000062070,18655,2.7.2.3
ENSMUSG00000031372,24102,3.1.11.2
ENSMUSG00000037012,15275,2.7.1.1
ENSMUSG00000029869,13848,2.7.10.1
ENSMUSG00000025271,18639,2.7.1.105
ENSMUSG00000025271,18639,3.1.3.46
ENSMUSG00000061740,56448,1.14.14.1
ENSMUSG00000031645,109821,3.4.21.27
ENSMUSG00000033439,229780,2.1.1.225
ENSMUSG00000068085,545123,1.14.14.1
ENSMUSG00000109764,16621,3.4.21.34
ENSMUSG00000020253,67905,3.1.3.16
