Transporter,Transporter_Superfamily
1.A.1.1.1,VIC Superfamily
1.A.1.10.1,VIC Superfamily
1.A.1.10.10,VIC Superfamily
1.A.1.10.11,VIC Superfamily
1.A.1.10.12,VIC Superfamily
1.A.1.10.13,VIC Superfamily
1.A.1.10.14,VIC Superfamily
1.A.1.10.15,VIC Superfamily
1.A.1.10.16,VIC Superfamily
1.A.1.10.17,VIC Superfamily
1.A.1.10.18,VIC Superfamily
1.A.1.10.19,VIC Superfamily
1.A.1.10.2,VIC Superfamily
1.A.1.10.20,VIC Superfamily
1.A.1.10.21,VIC Superfamily
1.A.1.10.22,VIC Superfamily
1.A.1.10.3,VIC Superfamily
1.A.1.10.4,VIC Superfamily
1.A.1.10.5,VIC Superfamily
1.A.1.10.6,VIC Superfamily
1.A.1.10.7,VIC Superfamily
1.A.1.10.8,VIC Superfamily
1.A.1.10.9,VIC Superfamily
1.A.1.11.1,VIC Superfamily
1.A.1.11.10,VIC Superfamily
1.A.1.11.11,VIC Superfamily
1.A.1.11.12,VIC Superfamily
1.A.1.11.13,VIC Superfamily
1.A.1.11.14,VIC Superfamily
1.A.1.11.15,VIC Superfamily
1.A.1.11.16,VIC Superfamily
1.A.1.11.17,VIC Superfamily
1.A.1.11.18,VIC Superfamily
1.A.1.11.19,VIC Superfamily
1.A.1.11.2,VIC Superfamily
1.A.1.11.20,VIC Superfamily
1.A.1.11.21,VIC Superfamily
1.A.1.11.22,VIC Superfamily
1.A.1.11.23,VIC Superfamily
1.A.1.11.24,VIC Superfamily
1.A.1.11.25,VIC Superfamily
1.A.1.11.26,VIC Superfamily
1.A.1.11.27,VIC Superfamily
1.A.1.11.28,VIC Superfamily
1.A.1.11.29,VIC Superfamily
1.A.1.11.3,VIC Superfamily
1.A.1.11.30,VIC Superfamily
1.A.1.11.31,VIC Superfamily
1.A.1.11.32,VIC Superfamily
1.A.1.11.33,VIC Superfamily
1.A.1.11.34,VIC Superfamily
1.A.1.11.35,VIC Superfamily
1.A.1.11.36,VIC Superfamily
1.A.1.11.4,VIC Superfamily
1.A.1.11.5,VIC Superfamily
1.A.1.11.6,VIC Superfamily
1.A.1.11.7,VIC Superfamily
1.A.1.11.8,VIC Superfamily
1.A.1.11.9,VIC Superfamily
1.A.1.12.1,VIC Superfamily
1.A.1.12.2,VIC Superfamily
1.A.1.12.3,VIC Superfamily
1.A.1.12.4,VIC Superfamily
1.A.1.12.5,VIC Superfamily
1.A.1.12.6,VIC Superfamily
1.A.1.13.1,VIC Superfamily
1.A.1.13.10,VIC Superfamily
1.A.1.13.2,VIC Superfamily
1.A.1.13.3,VIC Superfamily
1.A.1.13.4,VIC Superfamily
1.A.1.13.5,VIC Superfamily
1.A.1.13.6,VIC Superfamily
1.A.1.13.7,VIC Superfamily
1.A.1.13.8,VIC Superfamily
